H,a,e,i,q,ad,per_y,diameter,albedo,impact_candidate,name,is_neo,is_pha
18.47,1.325,0.1181,13.87,1.168,1.48,1.52,0.10412873932557196,0.0,1, 15817 Lucianotesi (1994 QC),False,False
16.86,2.851,0.5893,4.54,1.171,4.53,4.81,0.2185599640018803,0.0,1, 16064 Davidharvey (1999 RH27),False,False
18.78,2.311,0.4679,7.21,1.23,3.39,3.51,0.09027564716603619,0.0,1, 16636 (1993 QP),False,False
16.55,2.277,0.4607,24.94,1.228,3.33,3.44,0.25209870250722916,0.0,1, 16657 (1993 UB),False,False
16.23,1.443,0.6037,25.92,0.572,2.31,1.73,0.2921262679814647,0.0,1, 16816 (1997 UF9),False,False
15.75,1.468,0.4422,16.0,0.819,2.12,1.78,0.3643934907573952,0.0,1, 16834 (1997 WU22),False,False
17.91,1.751,0.2727,24.52,1.274,2.23,2.32,0.13476298141058474,0.0,1, 16912 Rhiannon (1998 EP8),False,False
14.32,2.2,0.8591,17.52,0.31,4.09,3.26,0.7039966790704869,0.0,1, 16960 (1998 QS52),False,False
16.77,2.37,0.674,10.65,0.773,3.97,3.65,0.22780885984673288,0.0,1, 17181 (1999 UM3),False,False
17.14,1.387,0.5534,9.27,0.619,2.15,1.63,0.1921191296354001,0.0,1, 17182 (1999 VU),False,False
16.4,2.216,0.6367,29.45,0.805,3.63,3.3,0.2701286265618486,0.0,1, 17188 (1999 WC2),False,False
16.87,2.731,0.5541,5.57,1.218,4.24,4.51,0.21755577218362604,0.0,1, 17274 (2000 LC16),False,False
17.32,1.19,0.3587,9.58,0.763,1.62,1.3,0.17683597059849598,0.0,1, 17511 (1992 QN),False,False
17.78,2.443,0.512,4.22,1.192,3.69,3.82,0.14307725863847207,0.0,1, 18106 Blume (2000 NX3),False,False
17.19,1.881,0.3676,0.81,1.19,2.57,2.58,0.18774596433734742,0.0,1, 18109 (2000 NG11),False,False
15.69,2.426,0.511,17.83,1.186,3.67,3.78,0.37460244742980114,0.0,1, 18172 (2000 QL7),False,False
15.98,2.35,0.4911,2.81,1.196,3.5,3.6,0.32777106366156433,0.0,1, 18736 (1998 NU),False,False
16.15,1.685,0.2321,36.81,1.294,2.08,2.19,0.30308930403763756,0.0,1, 18882 (1999 YN4),False,False
17.0,2.512,0.5578,3.01,1.111,3.91,3.98,0.20491351848325084,0.0,1, 19356 (1997 GH3),False,False
16.11,2.233,0.4447,1.33,1.24,3.23,3.34,0.30872415490405347,0.0,1, 19764 (2000 NF5),False,False
16.68,3.168,0.6287,21.69,1.176,5.16,5.64,0.237449145188466,0.0,1, 20086 (1994 LW),False,False
17.7,2.033,0.561,6.51,0.893,3.17,2.9,0.14844672149475813,0.0,1, 20236 (1998 BZ7),False,False
18.45,2.151,0.492,9.96,1.093,3.21,3.16,0.10509223068786025,0.0,1, 20255 (1998 FX2),False,False
20.51,1.565,0.4766,6.99,0.819,2.31,1.96,0.040697769755740035,0.0,0, 20425 (1998 VD35),False,False
17.73,1.556,0.4641,6.3,0.834,2.28,1.94,0.14640995611948956,0.0,1, 20429 (1998 YN1),False,False
15.42,1.877,0.4118,33.95,1.104,2.65,2.57,0.42419994753843526,0.0,1, 20460 Robwhiteley (1999 LO28),False,False
16.64,2.753,0.5562,8.3,1.222,4.28,4.57,0.24186365438978308,0.0,1, 20790 (2000 SE45),False,False
13.85,2.418,0.6365,31.93,0.879,3.96,3.76,0.8741191011052647,0.0,1, 20826 (2000 UV13),False,False
14.36,1.706,0.2387,38.46,1.299,2.11,2.23,0.6911472915703513,0.0,1, 21088 Chelyabinsk (1992 BL2),False,False
16.18,2.378,0.5204,20.95,1.141,3.62,3.67,0.2989307628865626,0.0,1, 21277 (1996 TO5),False,False
17.45,1.269,0.1207,23.98,1.116,1.42,1.43,0.1665599609977425,0.0,1, 21374 (1997 WS22),False,False
18.09,1.104,0.2763,9.85,0.799,1.41,1.16,0.1240425285275533,0.0,1, 22099 (2000 EX106),False,False
17.68,1.219,0.57,3.21,0.524,1.91,1.35,0.14982028209720644,0.0,1, 22753 (1998 WT),False,False
16.96,1.576,0.5242,11.4,0.75,2.4,1.98,0.20872314522290739,0.0,1, 22771 (1999 CU3),False,False
16.06,1.824,0.4009,40.98,1.093,2.56,2.46,0.31591526426111616,0.0,1, 23183 (2000 OY21),False,False
16.06,1.847,0.5894,51.34,0.758,2.94,2.51,0.31591526426111616,0.0,1, 23187 (2000 PN9),False,False
17.28,2.289,0.5179,23.44,1.104,3.48,3.46,0.18012359674981906,0.0,1, 23548 (1994 EF2),False,False
18.39,1.751,0.3609,14.36,1.119,2.38,2.32,0.10803652595358734,0.0,1, 23606 (1996 AS1),False,False
16.85,2.128,0.5165,8.44,1.029,3.23,3.11,0.21956879095896625,0.0,1, 23714 (1998 EC3),False,False
